章号,章名,值域代码,值域名称,代码,名称,说明
2,国家标准代码,GB/T 2659-2000,国籍代码,222,阿联酋,
2,国家标准代码,GB/T 2659-2000,国籍代码,223,英国,
2,国家标准代码,GB/T 2659-2000,国籍代码,224,美国,
2,国家标准代码,GB/T 2659-2000,国籍代码,225,美国本土外小岛屿,
2,国家标准代码,GB/T 2659-2000,国籍代码,226,乌拉圭,
2,国家标准代码,GB/T 2659-2000,国籍代码,227,乌兹别克斯坦,
2,国家标准代码,GB/T 2659-2000,国籍代码,228,瓦努阿图,
2,国家标准代码,GB/T 2659-2000,国籍代码,229,梵蒂冈,
2,国家标准代码,GB/T 2659-2000,国籍代码,230,委内瑞拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,231,越南,
2,国家标准代码,GB/T 2659-2000,国籍代码,232,英属维尔京群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,233,美属维尔京群岛,
2,国家标准代码,GB/T 2659-2000,国籍代码,234,瓦利斯和富图纳,
2,国家标准代码,GB/T 2659-2000,国籍代码,235,西撒哈拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,236,也门,
2,国家标准代码,GB/T 2659-2000,国籍代码,237,南斯拉夫,
2,国家标准代码,GB/T 2659-2000,国籍代码,238,赞比亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,239,津巴布韦,
2,国家标准代码,GB/T 4658-2006,学历代码,10,研究生教育,
2,国家标准代码,GB/T 4658-2006,学历代码,11,博士研究生毕业,
2,国家标准代码,GB/T 4658-2006,学历代码,12,博士研究生结业,
2,国家标准代码,GB/T 4658-2006,学历代码,13,博士研究生肄业,
2,国家标准代码,GB/T 4658-2006,学历代码,14,硕士研究生毕业,
2,国家标准代码,GB/T 4658-2006,学历代码,15,硕士研究生结业,
2,国家标准代码,GB/T 4658-2006,学历代码,16,硕士研究生肄业,
2,国家标准代码,GB/T 4658-2006,学历代码,17,研究生班毕业,
2,国家标准代码,GB/T 4658-2006,学历代码,18,研究生班结业,
2,国家标准代码,GB/T 4658-2006,学历代码,19,研究生班肄业,
2,国家标准代码,GB/T 4658-2006,学历代码,20,大学本科,
2,国家标准代码,GB/T 4658-2006,学历代码,21,大学本科毕业,
2,国家标准代码,GB/T 4658-2006,学历代码,22,大学本科结业,
2,国家标准代码,GB/T 4658-2006,学历代码,23,大学本科肄业,
2,国家标准代码,GB/T 4658-2006,学历代码,28,大学普通班毕业,
2,国家标准代码,GB/T 4658-2006,学历代码,30,专科教育,
