值域代码,值域名称,代码,名称,说明
GB/T 4658-2006,学历代码,90,其他,
GB/T 8561-2001,专业技术职务代码,1,名誉博士,
GB/T 8561-2001,专业技术职务代码,2,博士,
GB/T 8561-2001,专业技术职务代码,3,硕士,
GB/T 8561-2001,专业技术职务代码,4,学士,
GB/T 8561-2001,专业技术职务代码,10,高等学校教师,
GB/T 8561-2001,专业技术职务代码,11,教授,
GB/T 8561-2001,专业技术职务代码,12,副教授,
GB/T 8561-2001,专业技术职务代码,13,讲师,
GB/T 8561-2001,专业技术职务代码,14,助教,
GB/T 8561-2001,专业技术职务代码,20,中等专业学校教师,
GB/T 8561-2001,专业技术职务代码,22,高级讲师(中专),
GB/T 8561-2001,专业技术职务代码,23,讲师(中专),
GB/T 8561-2001,专业技术职务代码,24,助理讲师(中专),
GB/T 8561-2001,专业技术职务代码,25,教员(中专),
GB/T 8561-2001,专业技术职务代码,30,技工学校教师（讲师）,
GB/T 8561-2001,专业技术职务代码,32,高级讲师(技校),
GB/T 8561-2001,专业技术职务代码,33,讲师(技校),
GB/T 8561-2001,专业技术职务代码,34,助理讲师(技校),
GB/T 8561-2001,专业技术职务代码,35,教员(技校),
GB/T 8561-2001,专业技术职务代码,40,技工学校教师(实习指导),
GB/T 8561-2001,专业技术职务代码,42,高级实习指导教师,
GB/T 8561-2001,专业技术职务代码,43,一级实习指导教师,
GB/T 8561-2001,专业技术职务代码,44,二级实习指导教师,
GB/T 8561-2001,专业技术职务代码,45,三级实习指导教师,
GB/T 8561-2001,专业技术职务代码,50,中学教师,
GB/T 8561-2001,专业技术职务代码,52,高级教师(中学),
GB/T 8561-2001,专业技术职务代码,53,一级教师(中学),
GB/T 8561-2001,专业技术职务代码,54,二级教师(中学),
GB/T 8561-2001,专业技术职务代码,55,三级教师(中学),
GB/T 8561-2001,专业技术职务代码,70,实验技术人员,
GB/T 8561-2001,专业技术职务代码,72,高级实验师,
GB/T 8561-2001,专业技术职务代码,73,实验师,
GB/T 8561-2001,专业技术职务代码,74,助理实验师,
GB/T 8561-2001,专业技术职务代码,75,实验员,
GB/T 8561-2001,专业技术职务代码,80,工程技术人员,
GB/T 8561-2001,专业技术职务代码,82,高级工程师,
GB/T 8561-2001,专业技术职务代码,83,工程师,
GB/T 8561-2001,专业技术职务代码,84,助理工程师,
GB/T 8561-2001,专业技术职务代码,85,技术员,
GB/T 8561-2001,专业技术职务代码,90,农业技术人员（农艺）,
GB/T 8561-2001,专业技术职务代码,91,农业技术推广研究员（农艺）,
GB/T 8561-2001,专业技术职务代码,92,高级农艺师,
GB/T 8561-2001,专业技术职务代码,93,农艺师,
GB/T 8561-2001,专业技术职务代码,94,助理农艺师,
GB/T 8561-2001,专业技术职务代码,95,农业技术员,
GB/T 8561-2001,专业技术职务代码,100,农业技术人员（兽医）,
GB/T 8561-2001,专业技术职务代码,101,农业技术推广研究员（兽医）,
GB/T 8561-2001,专业技术职务代码,102,高级兽医师,
GB/T 8561-2001,专业技术职务代码,103,兽医师,
GB/T 8561-2001,专业技术职务代码,104,助理兽医师,
GB/T 8561-2001,专业技术职务代码,105,兽医技术员,
GB/T 8561-2001,专业技术职务代码,110,农业技术人员（畜牧）,
GB/T 8561-2001,专业技术职务代码,111,农业技术推广研究员（畜牧）,
GB/T 8561-2001,专业技术职务代码,112,高级畜牧师,
GB/T 8561-2001,专业技术职务代码,113,畜牧师,
GB/T 8561-2001,专业技术职务代码,114,助理畜牧师,
GB/T 8561-2001,专业技术职务代码,115,畜牧技术员,
GB/T 8561-2001,专业技术职务代码,120,经济专业人员,
GB/T 8561-2001,专业技术职务代码,122,高级经济师,
GB/T 8561-2001,专业技术职务代码,123,经济师,
GB/T 8561-2001,专业技术职务代码,124,助理经济师,
GB/T 8561-2001,专业技术职务代码,125,经济员,
GB/T 8561-2001,专业技术职务代码,130,会计专业人员,
GB/T 8561-2001,专业技术职务代码,132,高级会计师,
GB/T 8561-2001,专业技术职务代码,133,会计师,
GB/T 8561-2001,专业技术职务代码,134,助理会计师,
GB/T 8561-2001,专业技术职务代码,135,会计员,
GB/T 8561-2001,专业技术职务代码,140,统计专业人员,
GB/T 8561-2001,专业技术职务代码,142,高级统计师,
GB/T 8561-2001,专业技术职务代码,143,统计师,
GB/T 8561-2001,专业技术职务代码,144,助理统计师,
GB/T 8561-2001,专业技术职务代码,145,统计员,
GB/T 8561-2001,专业技术职务代码,150,出版专业人员（编审）,
GB/T 8561-2001,专业技术职务代码,151,编审,
GB/T 8561-2001,专业技术职务代码,152,副编审,
GB/T 8561-2001,专业技术职务代码,153,编辑,
GB/T 8561-2001,专业技术职务代码,154,助理编辑,
GB/T 8561-2001,专业技术职务代码,160,出版专业人员（编辑）,
GB/T 8561-2001,专业技术职务代码,163,技术编辑,
GB/T 8561-2001,专业技术职务代码,164,助理技术编辑,
GB/T 8561-2001,专业技术职务代码,165,技术设计员,
GB/T 8561-2001,专业技术职务代码,170,出版专业人员（校对）,
GB/T 8561-2001,专业技术职务代码,173,一级校对,
GB/T 8561-2001,专业技术职务代码,174,二级校对,
GB/T 8561-2001,专业技术职务代码,175,三级校对,
GB/T 8561-2001,专业技术职务代码,180,,
GB/T 8561-2001,专业技术职务代码,181,译审,
GB/T 8561-2001,专业技术职务代码,182,副译审,
GB/T 8561-2001,专业技术职务代码,183,翻译,
GB/T 8561-2001,专业技术职务代码,184,助理翻译,
